# LAB = 1 - N = 256 - CODE = original - COMPILER: gcc-9, clang-10
# OBJ = combinar distintas optimizaciones y flags.
# CPU = desktop
Flags,Gflops_Vel,Gflops_Force,Gflops_Verlet,Gflops_total
clang, -O3 -march=native -ffast-math -funroll-loops,0.66685,3.263063,0.027493,0.034985
clang, -O3 -march=native -ffast-math -funroll-loops,0.68656,3.325592,0.027611,0.035135
clang, -O3 -march=native -ffast-math -funroll-loops,0.705276,3.394154,0.0277,0.035233
clang, -O3 -march=native -ffast-math -funroll-loops,0.707645,3.491809,0.027633,0.035149
clang, -O3 -march=native -ffast-math -funroll-loops,0.666988,3.217574,0.027767,0.03532
clang, -O3 -march=native -ffast-math -funroll-loops,0.687905,3.25958,0.027749,0.035303
clang, -O3 -march=native -ffast-math -funroll-loops,0.677176,3.388314,0.027699,0.035077
clang, -O3 -march=native -ffast-math -funroll-loops,0.626427,3.142771,0.027711,0.035252
clang, -Ofast,0.772909,3.485323,0.028314,0.036074
clang, -Ofast,0.787275,3.484058,0.028148,0.03585
clang, -Ofast,0.650844,3.016937,0.02722,0.034493
clang, -Ofast,0.639692,2.87682,0.027212,0.03466
clang, -Ofast,0.65888,3.198329,0.026885,0.034232
clang, -Ofast,0.734883,3.385721,0.027564,0.035114
clang, -Ofast,0.61469,2.901873,0.024149,0.030734
clang, -Ofast,0.5606,2.669445,0.023543,0.02997
clang, -Ofast,0.604589,2.8482,0.023419,0.029822
clang, -Ofast,0.537451,2.57492,0.02362,0.030067
clang, -Ofast -march=native,0.64449,3.117575,0.024192,0.030777
clang, -Ofast -march=native,0.630691,3.058853,0.024309,0.030916
clang, -Ofast -march=native,0.609134,2.995981,0.024296,0.030906
clang, -Ofast -march=native,0.602185,2.983445,0.024199,0.030791
clang, -Ofast -march=native,0.630831,3.13303,0.024566,0.03125
clang, -Ofast -march=native,0.487117,2.767482,0.024239,0.030833
clang, -Ofast -march=native,0.607583,2.957479,0.02425,0.030859
clang, -Ofast -march=native,0.552545,2.758152,0.024495,0.031145
clang, -Ofast -march=native,0.522251,2.886803,0.024229,0.030826
clang, -Ofast -march=native,0.571038,2.796555,0.024286,0.03089
clang, -Ofast -march=native -ffast-math,0.64052,3.122201,0.024458,0.031107
clang, -Ofast -march=native -ffast-math,0.643916,3.121287,0.024182,0.030776
clang, -Ofast -march=native -ffast-math,0.602125,2.961923,0.024358,0.030989
clang, -Ofast -march=native -ffast-math,0.565381,2.78403,0.024226,0.030818
clang, -Ofast -march=native -ffast-math,0.605216,3.078028,0.024292,0.030897
clang, -Ofast -march=native -ffast-math,0.541595,2.990078,0.024287,0.030902
clang, -Ofast -march=native -ffast-math,0.572759,2.792748,0.02439,0.031019
clang, -Ofast -march=native -ffast-math,0.645014,3.134424,0.024216,0.030811
clang, -Ofast -march=native -ffast-math,0.571536,2.7854,0.024372,0.031002
clang, -Ofast -march=native -ffast-math,0.586656,2.871025,0.024283,0.030887
clang, -Ofast -march=native -funroll-loops,0.607896,3.113913,0.024378,0.031003
clang, -Ofast -march=native -funroll-loops,0.65115,3.116278,0.02424,0.030843
clang, -Ofast -march=native -funroll-loops,0.587716,2.82566,0.024186,0.03077
clang, -Ofast -march=native -funroll-loops,0.583864,2.899718,0.024258,0.030857
clang, -Ofast -march=native -funroll-loops,0.59948,2.93025,0.024321,0.030915
clang, -Ofast -march=native -funroll-loops,0.648171,3.1581,0.02456,0.031237
clang, -Ofast -march=native -funroll-loops,0.568332,2.879553,0.024248,0.030845
clang, -Ofast -march=native -funroll-loops,0.581133,2.947676,0.024237,0.03084
clang, -Ofast -march=native -funroll-loops,0.634648,3.112795,0.024435,0.031083
